Minute,Forecast_SM
186,0.43346253
187,0.43351045
188,0.43354785
189,0.43437153
190,0.434708
191,0.43435526
192,0.43503207
193,0.43495154
194,0.4345168
195,0.4342932
196,0.43411532
197,0.43375996
198,0.43391734
199,0.4339712
200,0.43371925
201,0.4332575
202,0.43333483
203,0.43353993
204,0.4338987
205,0.4338633
206,0.43388927
207,0.43412122
208,0.43413
209,0.4341249
210,0.4341202
211,0.43425512
212,0.4343232
213,0.4344945
214,0.4344052
215,0.4344852
216,0.43418705
217,0.43403307
218,0.43391162
219,0.43386018
220,0.43368253
221,0.43414667
222,0.43379918
223,0.4335561
224,0.4334878
225,0.43357736
226,0.4336088
227,0.43357077
228,0.43348762
229,0.43363026
230,0.4337446
231,0.4332955
232,0.43360803
233,0.4337724
234,0.433597
235,0.4337114
236,0.43374643
237,0.43401793
238,0.43421096
239,0.43391952
240,0.433675
241,0.43355227
242,0.43377173
243,0.43363765
244,0.43359756
245,0.43367228
246,0.43370083
247,0.43384185
248,0.43373576
249,0.4339023
250,0.43419033
251,0.43452248
252,0.4341712
253,0.43413165
254,0.43400288
255,0.4338179
256,0.43347034
257,0.43329996
258,0.43341312
259,0.4333852
260,0.43340367
261,0.432946
262,0.43329203
263,0.43335772
264,0.43341517
265,0.43344718
266,0.4334367
267,0.43338934
268,0.43340212
269,0.43350878
270,0.43374103
271,0.43393686
272,0.4335578
273,0.433631
274,0.4338862
275,0.43382138
276,0.43388054
277,0.43389714
278,0.4340838
279,0.43377748
280,0.43370143
281,0.4337486
282,0.4340246
283,0.43381184
284,0.43367413
285,0.43373525
286,0.43390018
287,0.433984
288,0.4338757
289,0.4337973
290,0.43385494
291,0.4340903
292,0.4339843
293,0.4339749
294,0.43383592
295,0.4338263
296,0.43383005
297,0.4337546
298,0.43360683
299,0.43368608
300,0.43376678
301,0.43364593
302,0.43380457
303,0.43386683
304,0.4338165
305,0.43388003
306,0.43385014
307,0.43387288
308,0.43383694
309,0.43390664
310,0.43391255
311,0.43373045
312,0.43379235
313,0.43398455
314,0.43411353
