Minute,Forecast_SM
346,0.43392697
347,0.43392697
348,0.43392697
349,0.43392697
350,0.43392697
351,0.43392697
352,0.43392697
353,0.43392697
354,0.43392697
355,0.43392697
356,0.43392697
357,0.43392697
358,0.43392697
359,0.43392697
360,0.43392697
361,0.43392697
362,0.43392697
363,0.43392697
364,0.43392697
365,0.43392697
366,0.43392697
367,0.43392697
368,0.43392697
369,0.43392697
370,0.43392697
371,0.43392697
372,0.43392697
373,0.43392697
374,0.43392697
375,0.43392697
376,0.43392697
377,0.43392697
378,0.43392697
379,0.43392697
380,0.43392697
381,0.43392697
382,0.43392697
383,0.43392697
384,0.43392697
385,0.43392697
386,0.43392697
387,0.43392697
388,0.43392697
389,0.43392697
390,0.43392697
391,0.43392697
392,0.43392697
393,0.43392697
394,0.43392697
395,0.43392697
396,0.43392697
397,0.43392697
398,0.43392697
399,0.43392697
400,0.43392697
401,0.43392697
402,0.43392697
403,0.43392697
404,0.43392697
405,0.43392697
406,0.43392697
407,0.43392697
408,0.43392697
409,0.43392697
410,0.43392697
411,0.43392697
412,0.43392697
413,0.43392697
414,0.43392697
415,0.43392697
416,0.43392697
417,0.43392697
418,0.43392697
419,0.43392697
420,0.43392697
421,0.43392697
422,0.43392697
423,0.43392697
424,0.43392697
425,0.43392697
426,0.43392697
427,0.43392697
428,0.43392697
429,0.43392697
430,0.43392697
431,0.43392697
432,0.43392697
433,0.43392697
434,0.43392697
435,0.43392697
436,0.43392697
437,0.43392697
438,0.43392697
439,0.43392697
440,0.43392697
441,0.43392697
442,0.43392697
443,0.43392697
444,0.43392697
445,0.43392697
446,0.43392697
447,0.43392697
448,0.43392697
449,0.43392697
450,0.43392697
451,0.43392697
452,0.43392697
453,0.43392697
454,0.43392697
455,0.43392697
456,0.43392697
457,0.43392697
458,0.43392697
459,0.43392697
460,0.43392697
461,0.43392697
462,0.43392697
463,0.43392697
464,0.43392697
465,0.43392697
466,0.43392697
467,0.43392697
468,0.43392697
469,0.43392697
470,0.43392697
471,0.43392697
472,0.43392697
473,0.43392697
474,0.43392697
475,0.43392697
476,0.43392697
477,0.43392697
478,0.43392697
479,0.43392697
480,0.43392697
481,0.43392697
482,0.43392697
483,0.43392697
484,0.43392697
485,0.43392697
486,0.43392697
487,0.43392697
488,0.43392697
489,0.43392697
490,0.43392697
491,0.43392697
492,0.43392697
493,0.43392697
494,0.43392697
495,0.43392697
496,0.43392697
497,0.43392697
498,0.43392697
499,0.43392697
500,0.43392697
501,0.43392697
502,0.43392697
503,0.43392697
504,0.43392697
505,0.43392697
506,0.43392697
507,0.43392697
508,0.43392697
509,0.43392697
510,0.43392697
511,0.43392697
512,0.43392697
513,0.43392697
514,0.43392697
515,0.43392697
516,0.43392697
517,0.43392697
518,0.43392697
519,0.43392697
520,0.43392697
521,0.43392697
522,0.43392697
523,0.43392697
524,0.43392697
525,0.43392697
526,0.43392697
527,0.43392697
528,0.43392697
529,0.43392697
530,0.43392697
531,0.43392697
532,0.43392697
533,0.43392697
534,0.43392697
535,0.43392697
536,0.43392697
537,0.43392697
538,0.43392697
539,0.43392697
540,0.43392697
541,0.43392697
542,0.43392697
543,0.43392697
544,0.43392697
545,0.43392697
546,0.43392697
547,0.43392697
548,0.43392697
549,0.43392697
550,0.43392697
551,0.43392697
552,0.43392697
553,0.43392697
554,0.43392697
555,0.43392697
556,0.43392697
557,0.43392697
558,0.43392697
559,0.43392697
560,0.43392697
561,0.43392697
562,0.43392697
563,0.43392697
564,0.43392697
565,0.43392697
566,0.43392697
567,0.43392697
568,0.43392697
569,0.43392697
570,0.43392697
571,0.43392697
572,0.43392697
573,0.43392697
574,0.43392697
575,0.43392697
576,0.43392697
577,0.43392697
578,0.43392697
579,0.43392697
580,0.43392697
581,0.43392697
582,0.43392697
583,0.43392697
584,0.43392697
585,0.43392697
586,0.43392697
587,0.43392697
588,0.43392697
589,0.43392697
590,0.43392697
591,0.43392697
592,0.43392697
593,0.43392697
594,0.43392697
595,0.43392697
596,0.43392697
597,0.43392697
598,0.43392697
599,0.43392697
600,0.43392697
601,0.43392697
602,0.43392697
603,0.43392697
604,0.43392697
605,0.43392697
