Minute,Forecast_SM
293,0.3952681
294,0.39513046
295,0.39517027
296,0.39539412
297,0.39467785
298,0.3942724
299,0.39487404
300,0.3944138
301,0.39427286
302,0.39453632
303,0.3946468
304,0.3950638
305,0.39460132
306,0.3946645
307,0.39470935
308,0.39462367
309,0.39478898
310,0.39478153
311,0.3942171
312,0.3947769
313,0.39467812
314,0.39480558
315,0.39468813
316,0.39502525
317,0.3953002
318,0.39543527
319,0.39556476
320,0.39533356
321,0.39531305
322,0.3959237
323,0.39553684
324,0.39548707
325,0.3952843
326,0.3953032
327,0.39515465
328,0.3954411
329,0.39540395
330,0.39513323
331,0.39483315
332,0.39533502
333,0.39577603
334,0.3958011
335,0.3960024
336,0.39657855
337,0.39611694
338,0.39620438
339,0.39634156
340,0.39617413
341,0.39620042
342,0.39669406
343,0.39678463
344,0.3971331
345,0.39672425
346,0.39705
347,0.3966324
348,0.39651507
349,0.39679825
350,0.39666018
351,0.39581227
352,0.39660993
353,0.3963964
354,0.39628074
355,0.39569154
356,0.39586428
357,0.39578944
358,0.39603937
359,0.39600843
360,0.39629444
361,0.3961592
362,0.3967158
363,0.39635903
364,0.39676577
365,0.39680684
366,0.39716396
367,0.39703023
368,0.3974265
369,0.3973926
370,0.39739344
371,0.39688325
372,0.397866
373,0.39834327
374,0.3982516
375,0.39805168
376,0.398484
377,0.39801913
378,0.3980741
379,0.3980505
380,0.39791203
381,0.39740276
382,0.3978023
383,0.39780128
384,0.3981907
385,0.397858
386,0.3980388
387,0.39773497
388,0.3982136
389,0.3985571
390,0.39892656
391,0.3984834
392,0.39923665
393,0.399159
394,0.39936277
395,0.39891136
396,0.399398
397,0.39965177
398,0.40006638
399,0.4001162
400,0.40067926
401,0.40044722
402,0.40092182
403,0.40062344
404,0.40112314
405,0.4012197
406,0.4012791
407,0.4010367
408,0.4013279
409,0.40111482
410,0.40132236
411,0.4008961
412,0.40153262
413,0.40177155
414,0.40181094
415,0.40194947
416,0.40259755
417,0.40224984
418,0.40244356
419,0.40216318
420,0.40219402
421,0.40158197
422,0.40171993
423,0.4015599
424,0.40172738
425,0.40133575
426,0.40151906
427,0.40143463
428,0.4018756
429,0.4022345
430,0.40237358
431,0.40216914
432,0.40254298
433,0.4023058
434,0.4024305
435,0.40198898
436,0.40189672
437,0.40160605
438,0.40124252
439,0.4010916
440,0.40163112
441,0.40101814
442,0.40146124
443,0.40146017
444,0.40162805
445,0.40124652
446,0.4006866
447,0.39996508
448,0.39985988
449,0.39864334
450,0.39876828
451,0.39878216
452,0.39873517
453,0.3973212
454,0.39617392
455,0.39581594
456,0.3963162
457,0.39565986
458,0.395915
459,0.39589265
460,0.3959158
461,0.3947774
462,0.39414176
463,0.3934077
464,0.39280435
465,0.3919184
466,0.3914844
467,0.39078686
468,0.39069623
469,0.38989827
470,0.38916317
471,0.38814092
472,0.38781965
473,0.3867012
474,0.38597962
475,0.38541457
476,0.3850443
477,0.3840139
478,0.38326517
479,0.38246143
480,0.38170898
481,0.38038865
482,0.37984863
483,0.3795028
484,0.3794318
485,0.378561
486,0.37823838
487,0.37769654
488,0.37758112
489,0.3767248
490,0.37663022
491,0.37631822
492,0.37618837
493,0.37434894
494,0.37398443
495,0.37351987
496,0.3735087
497,0.37253106
498,0.37198588
499,0.37119308
500,0.37117982
501,0.37042925
502,0.37022397
503,0.36947381
504,0.36927328
505,0.36780506
506,0.36731926
507,0.36621377
508,0.36662468
509,0.36592668
510,0.3660225
511,0.3647925
512,0.36460575
513,0.36344644
514,0.36293253
515,0.36260065
516,0.3632261
517,0.36317417
518,0.36354396
519,0.36275136
520,0.36292672
521,0.36203995
522,0.36148903
523,0.36078945
524,0.36148828
525,0.36086032
526,0.36174777
527,0.36147043
528,0.36149937
529,0.36081386
530,0.36067006
531,0.3602036
532,0.36100158
533,0.3599548
534,0.36023697
535,0.36024478
536,0.36061656
537,0.3606457
538,0.36126146
539,0.36140093
540,0.36268592
541,0.3625328
542,0.36330688
543,0.3633866
544,0.3635859
545,0.36290443
546,0.3621366
547,0.36211362
548,0.36310646
549,0.3636475
550,0.36522335
551,0.36585826
552,0.36624664
553,0.3663111
554,0.3664024
555,0.3671924
556,0.36801526
557,0.36835906
558,0.36950472
559,0.36945313
560,0.36927298
561,0.36912057
562,0.36882365
563,0.36993548
564,0.37135842
565,0.3744072
566,0.37669957
567,0.37740687
568,0.37795064
569,0.37717596
570,0.37675527
571,0.37662646
572,0.3762509
573,0.37567198
574,0.3754002
575,0.3755454
576,0.37569222
577,0.37564903
578,0.3758272
579,0.37602574
580,0.3762126
581,0.37638265
582,0.376196
583,0.37622327
584,0.37646213
585,0.37616768
586,0.37634018
587,0.37637413
588,0.37625116
589,0.37638897
590,0.37626025
591,0.3761943
592,0.37636122
593,0.37618765
594,0.37646013
595,0.37648147
596,0.37628838
597,0.37638623
598,0.37624505
599,0.3760665
600,0.3760905
601,0.37604955
602,0.3759575
603,0.3759783
604,0.37594718
605,0.37600088
606,0.376002
607,0.37624726
608,0.37641492
609,0.3762719
610,0.37619033
611,0.37630907
612,0.37627533
613,0.37619796
614,0.3759526
615,0.37593126
616,0.37599346
617,0.37581995
618,0.37579173
619,0.37591535
620,0.37598586
621,0.37608021
622,0.3759464
623,0.37582067
624,0.37570593
625,0.3755365
626,0.3754796
627,0.3755024
628,0.37564617
629,0.37565732
630,0.37543285
631,0.37550476
632,0.37550727
633,0.37528577
634,0.37534136
635,0.37550965
636,0.37560356
637,0.37556493
638,0.3754747
639,0.3755365
640,0.3753534
641,0.37507397
642,0.3751423
643,0.37516284
644,0.3751533
645,0.37509435
646,0.37495795
647,0.37503734
648,0.37499288
649,0.37475455
650,0.37454516
651,0.37458912
652,0.37461433
653,0.37448326
654,0.3743588
655,0.37442222
656,0.37434494
657,0.37407196
658,0.37396917
659,0.3739651
660,0.37391305
661,0.37385628
662,0.37381083
663,0.37382078
664,0.37374374
665,0.37361163
666,0.37350905
667,0.37341043
668,0.37333238
669,0.37313554
670,0.37291336
671,0.3729646
672,0.37288275
673,0.37250632
674,0.37239006
675,0.3722719
676,0.37221316
677,0.3720949
678,0.37203434
679,0.37219512
680,0.37207565
681,0.37175202
682,0.3717133
683,0.37165135
684,0.3715276
685,0.37134156
686,0.3711335
687,0.37122372
688,0.3712342
689,0.37102622
690,0.3709746
691,0.37092647
692,0.37090266
693,0.37071076
694,0.37056077
695,0.37075853
696,0.37067798
697,0.37034532
698,0.37025964
699,0.37014145
700,0.37010026
701,0.3699822
702,0.3698068
703,0.3697821
704,0.3697298
705,0.36963248
706,0.36980549
707,0.3697599
708,0.36981148
709,0.36968255
710,0.36950922
711,0.369616
712,0.3697295
713,0.3695453
714,0.36963102
715,0.3696076
716,0.36962298
717,0.36945117
718,0.36938474
719,0.36954772
720,0.36955363
721,0.3693487
722,0.3695137
723,0.36948842
724,0.3695485
725,0.3693927
726,0.36942098
727,0.369764
728,0.36998108
729,0.36994728
730,0.37022406
731,0.37035024
732,0.37047976
733,0.37040386
734,0.37045884
735,0.3707303
736,0.37075812
737,0.370573
738,0.3707719
739,0.37091154
740,0.37108907
741,0.37117228
742,0.3714065
743,0.37170333
744,0.37193474
745,0.3720762
746,0.3724502
747,0.37264577
748,0.37275532
749,0.3727091
750,0.37282237
751,0.37313223
752,0.37337184
753,0.37340325
754,0.37380537
755,0.3741205
756,0.3743844
757,0.3745573
758,0.37490898
759,0.37534305
760,0.37550688
761,0.37555638
762,0.37600914
