Minute,Forecast_SM,Cluster_Used
200,0.4341822651930305,3
201,0.4341727591437572,3
202,0.43416501507321137,3
203,0.4341601129038387,3
204,0.4341581817328554,3
205,0.4341587787524042,3
206,0.4341612597982192,3
207,0.43416430702124464,3
208,0.43416619721597843,3
209,0.434165791859532,3
210,0.4341628054399736,3
211,0.43415777373278003,3
212,0.43415142109229693,3
213,0.43414414450347893,3
214,0.4341366110420433,3
215,0.43413006850087726,3
216,0.4341257166469411,3
217,0.4341241798172834,3
218,0.4341253377267847,3
219,0.4341283003536821,3
220,0.43413182915779014,3
221,0.43413477812593776,3
222,0.43413641629470706,3
223,0.43413659297724516,3
224,0.43413539585391375,3
225,0.43413288572817976,3
226,0.4341293846821763,3
227,0.43412564923440167,3
228,0.4341225539854494,3
229,0.4341207858382543,3
230,0.4341206307453531,3
231,0.4341220296656981,3
232,0.4341249363357817,3
233,0.4341293000860484,3
234,0.43413477239807496,3
235,0.43414076770803844,3
236,0.43414656033977866,3
237,0.434151273049073,3
238,0.43415425197834934,3
239,0.43415546276043065,3
240,0.43415541561571347,3
241,0.4341548569287852,3
242,0.43415442381423425,3
243,0.434154519425483,3
244,0.4341554217841811,3
245,0.43415726615601236,3
246,0.43415994503339733,3
247,0.43416311606638086,3
248,0.4341662641879131,3
249,0.43416883379529947,3
250,0.43417042525995647,3
251,0.434170853968459,3
252,0.4341701820460886,3
253,0.4341687157132042,3
254,0.43416689733705816,3
255,0.43416527018340967,3
256,0.4341646172070471,3
257,0.4341657055009847,3
258,0.4341687778384857,3
259,0.43417350200350574,3
260,0.43417916201319123,3
261,0.4341847673878774,3
262,0.43418936950535875,3
263,0.43419247400701244,3
264,0.43419404784747617,3
265,0.43419429634860196,3
266,0.43419350942837015,3
267,0.434192113592259,3
268,0.4341907278900591,3
269,0.4341899264298677,3
270,0.4341899956048265,3
271,0.4341909671384834,3
272,0.4341926749228163,3
273,0.4341947113983547,3
274,0.43419651964058964,3
275,0.43419762291509156,3
276,0.43419770663000984,3
277,0.43419657075075024,3
278,0.4341941720980391,3
279,0.43419080323348547,3
280,0.43418705324575135,3
281,0.43418352400103855,3
282,0.4341806120436968,3
283,0.43417852181436883,3
284,0.4341772982547474,3
285,0.43417680565854405,3
286,0.434176829451205,3
287,0.4341771453648703,3
